sequence	time_seconds	time_nseconds	orientation_x	orientation_y	orientation_z	orientation_w	angular_velocity_x	angular_velocity_y	angular_velocity_z	linear_acceleration_x	linear_acceleration_y	linear_acceleration_z	mag_x	mag_y	mag_z
4824	96	580000000	-2.6249366563912714e-20	6.197733643959721e-20	-5.351860505482526e-18	1.0	0.0	0.0	0.0	-3.65966787296829e-17	7.40694166227809e-17	9.8	0.5000000000000001	5.3048488340408e-18	-0.8711410281050046
4825	96	600000000	-2.5654972351177678e-20	6.166945448734591e-20	-5.353947090925801e-18	1.0	0.0	0.0	0.0	-4.070384956614483e-17	-8.737236190292424e-17	9.8	0.5000000000000001	5.307619183607213e-18	-0.8524924767290488
4826	96	620000000	-2.6387986336122355e-20	6.185825987993868e-20	-5.3560335766614046e-18	1.0	0.0	0.0	0.0	-5.2915339976456736e-17	5.938492659969227e-17	9.8	0.5000000000000001	5.310885033674814e-18	-0.8841415548266276
4827	96	640000000	-2.5701161903159482e-20	6.179836480786921e-20	-5.358120092229061e-18	1.0	0.0	0.0	0.0	1.573595350914214e-17	-4.488793052837078e-17	9.8	0.5000000000000001	5.3139715033360046e-18	-0.846283136419358
4828	96	660000000	-2.6891577881801412e-20	6.346090853631188e-20	-5.360206477456386e-18	1.0	0.0	0.0	0.0	9.182430130250882e-17	6.032953851661121e-17	9.8	0.5000000000000001	5.312725866032542e-18	-0.8910283885917106
4829	96	680000000	-2.5827840319015085e-20	6.298071600348611e-20	-5.362292968166718e-18	1.0	0.0	0.0	0.0	8.43426541480129e-19	-2.6484567454151458e-17	9.8	0.5000000000000001	5.31743612914013e-18	-0.8399469848728841
4830	96	700000000	-2.6336937041549294e-20	6.340587540164753e-20	-5.3643801568484175e-18	1.0	0.0	0.0	0.0	-6.796997185813354e-17	6.4791472852864294e-18	9.8	0.5000000000000001	5.320177805426501e-18	-0.9028618388059453
4831	96	720000000	-2.663625273832462e-20	6.331466165054642e-20	-5.366466854674887e-18	1.0	0.0	0.0	0.0	1.5399696657287203e-16	1.6322473875761818e-17	9.8	0.5000000000000001	5.321298305274298e-18	-0.8796843607100494
4832	96	740000000	-2.5775173524239962e-20	6.327526922626047e-20	-5.368552731047306e-18	1.0	0.0	0.0	0.0	-4.74341194932042e-17	2.012668708886446e-17	9.8	0.5000000000000001	5.31941942681062e-18	-0.8712390547075559
4833	96	760000000	-2.683840805508896e-20	6.258993341988609e-20	-5.3706400698388615e-18	1.0	0.0	0.0	0.0	-1.0746298682181747e-16	-5.651974885168713e-17	9.8	0.5000000000000001	5.323775339391191e-18	-0.8772134383705749
4834	96	780000000	-2.6402778529477884e-20	6.254806420817253e-20	-5.37272693442142e-18	1.0	0.0	0.0	0.0	8.490300356467992e-17	4.9348670841227054e-17	9.8	0.5000000000000001	5.329035523283742e-18	-0.8725973557344123
4835	96	800000000	-2.6268840361245147e-20	6.332017836249954e-20	-5.374812903694548e-18	1.0	0.0	0.0	0.0	-3.5054194142737305e-17	-1.786498171155441e-17	9.8	0.5000000000000001	5.32688399520353e-18	-0.8686284195834715
4836	96	820000000	-2.736449050755999e-20	6.344358145361073e-20	-5.3768992704259156e-18	1.0	0.0	0.0	0.0	-4.932902255280266e-17	2.0661107555296404e-17	9.8	0.5000000000000001	5.332102559710614e-18	-0.8797685209086415
4837	96	840000000	-2.658299235697128e-20	6.197103761680865e-20	-5.37898529268323e-18	1.0	0.0	0.0	0.0	-7.219051494796035e-17	-5.962055727026441e-17	9.8	0.5000000000000001	5.3349828228011296e-18	-0.8668333814082937
4838	96	860000000	-2.46907105147922e-20	6.253198341792339e-20	-5.3810709007901456e-18	1.0	0.0	0.0	0.0	1.7367982248704742e-16	-7.404018077332801e-17	9.8	0.5000000000000001	5.334748523418515e-18	-0.8736283939295848
4839	96	880000000	-2.467388952044265e-20	6.081642671677039e-20	-5.3831577410653754e-18	1.0	0.0	0.0	0.0	-1.7293420431477265e-16	1.1900778291886218e-16	9.8	0.5000000000000001	5.339789865530395e-18	-0.8713995967321584
4840	96	900000000	-2.433986826488819e-20	6.243970877749609e-20	-5.3852433622784175e-18	1.0	0.0	0.0	0.0	9.715709394392244e-17	-9.134933809667052e-17	9.8	0.5000000000000001	5.339612442290547e-18	-0.8601685616353705
4841	96	920000000	-2.7197158156994524e-20	6.20994325245297e-20	-5.3873294838290564e-18	1.0	0.0	0.0	0.0	-4.9842277284834166e-17	5.174558219500341e-17	9.8	0.5000000000000001	5.340985405621487e-18	-0.8782780895156541
4842	96	940000000	-2.6546322696766634e-20	6.334290345624917e-20	-5.389416719398481e-18	1.0	0.0	0.0	0.0	8.198025158236399e-17	-4.235712483839537e-17	9.8	0.5000000000000001	5.3437388803846086e-18	-0.8661231821144035
4843	96	960000000	-2.560041282241565e-20	6.31114342196464e-20	-5.391503456746354e-18	1.0	0.0	0.0	0.0	2.56202394593362e-17	4.9827872897490064e-17	9.8	0.5000000000000001	5.3463026758860885e-18	-0.8742886093640148
4844	96	980000000	-2.539746338586942e-20	6.313554392761976e-20	-5.393589865789854e-18	1.0	0.0	0.0	0.0	-1.5274795770591638e-17	-5.594373837532679e-17	9.8	0.5000000000000001	5.347935987199587e-18	-0.8503228338481382
4845	97	0	-2.6472385267729337e-20	6.216007385049093e-20	-5.39567695670337e-18	1.0	0.0	0.0	0.0	-3.825433684368653e-18	7.372352425858254e-17	9.8	0.5000000000000001	5.349304787639294e-18	-0.8720417081727967
4846	97	20000000	-2.5627659792369127e-20	6.252975694534277e-20	-5.397763478692569e-18	1.0	0.0	0.0	0.0	-2.6005101918624825e-17	8.5489145878783e-18	9.8	0.5000000000000001	5.351114878559596e-18	-0.8495656592014259
4847	97	40000000	-2.6899774486356704e-20	6.273278353943868e-20	-5.3998505650497795e-18	1.0	0.0	0.0	0.0	3.7498951112015e-17	9.011891138873789e-18	9.8	0.5000000000000001	5.354339569593402e-18	-0.8567798837903752
4848	97	60000000	-2.6800479772879245e-20	6.345910742693338e-20	-5.401936673426442e-18	1.0	0.0	0.0	0.0	-2.3629322743685562e-17	6.085002013948795e-17	9.8	0.5000000000000001	5.355081160632667e-18	-0.8551469841863555
4849	97	80000000	-2.5433351299165617e-20	6.229499244713294e-20	-5.404023410853451e-18	1.0	0.0	0.0	0.0	-2.0744210800754862e-17	-4.160419845339722e-17	9.8	0.5000000000000001	5.360497345998452e-18	-0.8809076401491658
4850	97	100000000	-2.5754766960301725e-20	6.242539077988513e-20	-5.4061100475297745e-18	1.0	0.0	0.0	0.0	-7.157369431504398e-17	-1.2841889307948075e-16	9.8	0.5000000000000001	5.360459732196391e-18	-0.8805175977004784
4851	97	120000000	-2.595273200422013e-20	6.218772731032607e-20	-5.4081986188125236e-18	1.0	0.0	0.0	0.0	2.0230708785772716e-17	4.810893223903567e-17	9.8	0.5000000000000001	5.3640706764930386e-18	-0.8614366750929512
4852	97	140000000	-2.631681584681282e-20	6.410092203235975e-20	-5.4102849924726014e-18	1.0	0.0	0.0	0.0	-3.0038287378916683e-17	7.023573635086852e-18	9.8	0.5000000000000001	5.3635736305954494e-18	-0.8600721450763722
4853	97	160000000	-2.498053991004581e-20	6.26789062893095e-20	-5.412371700563308e-18	1.0	0.0	0.0	0.0	1.0196564946557903e-17	-3.6876968648102613e-17	9.8	0.5000000000000001	5.366527869112433e-18	-0.8899210674306798
4854	97	180000000	-2.5849955634212528e-20	6.298554065529335e-20	-5.414457212916379e-18	1.0	0.0	0.0	0.0	1.521343293344838e-17	6.138063273246134e-17	9.8	0.5000000000000001	5.369453972552141e-18	-0.8673362995657377
4855	97	200000000	-2.7242193771756047e-20	6.256591938484894e-20	-5.4165428320317234e-18	1.0	0.0	0.0	0.0	5.735112971259498e-18	5.371742590136679e-17	9.8	0.5000000000000001	5.36924359357281e-18	-0.8567222362259502
4856	97	220000000	-2.526418619354232e-20	6.371164454606559e-20	-5.418628795128888e-18	1.0	0.0	0.0	0.0	5.643864715473085e-17	-9.437408226450844e-17	9.8	0.5000000000000001	5.373303790917384e-18	-0.8858004991255501
4857	97	240000000	-2.719323461886425e-20	6.381637565831443e-20	-5.420716333877999e-18	1.0	0.0	0.0	0.0	1.292717603559023e-16	1.0508820226430961e-16	9.8	0.5000000000000001	5.375973597832675e-18	-0.8671945824958098
4858	97	260000000	-2.601187946191865e-20	6.336084076414965e-20	-5.4228032836642845e-18	1.0	0.0	0.0	0.0	-6.02758392308544e-17	-3.867189967705484e-17	9.8	0.5000000000000001	5.3792408213827395e-18	-0.8985171891837761
4859	97	280000000	-2.6152798439033e-20	6.314167179648189e-20	-5.424890254803961e-18	1.0	0.0	0.0	0.0	-3.1223264229549206e-17	-2.582790228380626e-17	9.8	0.5000000000000001	5.3799835330246744e-18	-0.8578405054002299
4860	97	300000000	-2.560339852604583e-20	6.312742423067411e-20	-5.426977471487474e-18	1.0	0.0	0.0	0.0	-1.1182534282571942e-16	-9.168184255614567e-17	9.8	0.5000000000000001	5.379605152637634e-18	-0.8866623946346679
4861	97	320000000	-2.57051346832049e-20	6.238828417536705e-20	-5.429063245218342e-18	1.0	0.0	0.0	0.0	-6.934531952562381e-17	7.193402254593604e-17	9.8	0.5000000000000001	5.383696727685894e-18	-0.8600833628838856
4862	97	340000000	-2.479743064718334e-20	6.139260712374341e-20	-5.4311493057851954e-18	1.0	0.0	0.0	0.0	-3.14371988094499e-17	-4.36766565759104e-17	9.8	0.5000000000000001	5.386240323428095e-18	-0.8371608806478489
4863	97	360000000	-2.5679965107033277e-20	6.057642388742712e-20	-5.4332355210670506e-18	1.0	0.0	0.0	0.0	4.94242252052773e-17	3.80478210207114e-17	9.8	0.5000000000000001	5.386378349606401e-18	-0.8914146737346859
4864	97	380000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-6.188548907222986e-15	-2.587129240060927e-15	9.799999999998304	0.5000000000000001	5.47982776946947e-18	-0.8754416683810995
4865	97	400000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8563158889296721
4866	97	420000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8835180711672571
4867	97	440000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8846468375803338
4868	97	460000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8963513256750082
4869	97	480000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8721554718093473
4870	97	500000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8634983469869933
4871	97	520000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8705270470619115
4872	97	540000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8816174845439682
4873	97	560000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.842991489733599
4874	97	580000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8664193211612545
4875	97	600000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8358696485534642
4876	97	620000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8768855148648121
4877	97	640000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8616519389557715
4878	97	660000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.869361965528888
4879	97	680000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8917839682649872
4880	97	700000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8756663972352156
4881	97	720000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8536829064594754
4882	97	740000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8516183603506654
4883	97	760000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8537170191497837
4884	97	780000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8581364120353033
4885	97	800000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8626282081490584
4886	97	820000000	-2.6659078482561116e-20	6.22109645877601e-20	-5.4336528910547064e-18	1.0	0.0	0.0	0.0	-1.2193349059200981e-18	-5.225179382581979e-19	9.8	0.5000000000000001	5.47982776946947e-18	-0.8769628629413123
4887	97	840000000	-9.756379649298377e-15	1.7322610637566578e-11	1.6559727226046702e-11	1.0	0.0	0.0	0.0	241.31000126981974	0.019997362183483663	10.159998738189447	0.5000000000000001	5.47982776946947e-18	-0.8586964855033778
4888	97	860000000	-9.756377372897331e-15	4.4030287903018864e-11	4.298471840793919e-11	1.0	0.0	0.0	0.0	-9.799999989214387	1.5137336767349947e-08	9.799999987488563	0.5000000000000001	5.47982776946947e-18	-0.8514443712305986
4889	97	880000000	-9.756378299339617e-15	7.091061964742239e-11	6.94066511500002e-11	1.0	0.0	0.0	0.0	-9.799999990017685	1.5659859686495958e-08	9.799999987238127	0.5000000000000001	-0.05625190388822307	-0.84036776091425
4890	97	900000000	-9.756387272594902e-15	9.806901130476611e-11	9.582364586647923e-11	1.0	0.0	0.0	0.0	-9.799999990792598	1.6182291168061262e-08	9.799999986948372	0.5000000000000001	-0.14224639761663124	-0.869167178262145
4891	97	920000000	-9.756389310767932e-15	1.2561195767794193e-10	1.2223382290306898e-10	1.0	0.0	0.0	0.0	-9.799999991608752	1.6704596469058133e-08	9.799999986684869	0.5000000000000001	-0.22681961827749322	-0.8381162859548745
4892	97	940000000	-9.756404769119219e-15	1.5364746203839532e-10	1.486353030206407e-10	1.0	0.0	0.0	0.0	-9.799999992433426	1.722673244865046e-08	9.79999998641047	0.5000000000000001	-0.30912654172415277	-0.8235906592523823
