sequence	time_seconds	time_nseconds	orientation_x	orientation_y	orientation_z	orientation_w	angular_velocity_x	angular_velocity_y	angular_velocity_z	linear_acceleration_x	linear_acceleration_y	linear_acceleration_z	mag_x	mag_y	mag_z
17105	302	860000000	2.572487230768213e-20	-6.249951732102026e-20	-5.391607828048619e-18	1.0	0.0	0.0	0.0	4.0474791654667323e-17	1.2131303402956332e-16	9.8	0.5000000000000001	5.3470510421934934e-18	-0.8572394004635991
17106	302	880000000	2.7036773423572518e-20	-6.275602232148979e-20	-5.393694237092119e-18	1.0	0.0	0.0	0.0	-1.2758282056934785e-17	-5.491756046170231e-17	9.8	0.5000000000000001	5.346865171849765e-18	-0.8753274786718341
17107	302	900000000	2.5422786587197844e-20	-6.207685194103012e-20	-5.395781192880894e-18	1.0	0.0	0.0	0.0	2.0189307163994475e-17	-7.429912447498677e-18	9.8	0.5000000000000001	5.3517476348418886e-18	-0.8851740824463896
17108	302	920000000	2.6361101074806443e-20	-6.317224423688689e-20	-5.397868050891178e-18	1.0	0.0	0.0	0.0	-1.397548059122027e-17	-3.157251417237206e-17	9.8	0.5000000000000001	5.3522092844861565e-18	-0.8691691779790905
17109	302	940000000	2.6355148698407172e-20	-6.214438894533679e-20	-5.399955009385525e-18	1.0	0.0	0.0	0.0	-5.1157780576992817e-17	-1.6312515520101033e-17	9.8	0.5000000000000001	5.3543065527988525e-18	-0.8815155005031858
17110	302	960000000	2.6018590932915772e-20	-6.39691145131112e-20	-5.402041190794177e-18	1.0	0.0	0.0	0.0	-6.052064304822574e-17	3.8996027893952063e-17	9.8	0.5000000000000001	5.3569756693570176e-18	-0.8511568005773509
17111	302	980000000	2.6201536608184607e-20	-6.322243902314297e-20	-5.4041278171169155e-18	1.0	0.0	0.0	0.0	8.897433291943118e-17	3.2311785908433705e-17	9.8	0.5000000000000001	5.358745424475166e-18	-0.8846706031614581
17112	303	0	2.5735808155788837e-20	-6.275966090032825e-20	-5.406214321171579e-18	1.0	0.0	0.0	0.0	-3.693086070068409e-17	2.5665136207550378e-17	9.8	0.5000000000000001	5.361638593871908e-18	-0.858894944579428
17113	303	20000000	2.6369828415858195e-20	-6.237847493065278e-20	-5.40830289012417e-18	1.0	0.0	0.0	0.0	2.50968166151582e-17	-6.61795931395478e-17	9.8	0.5000000000000001	5.3626290075210314e-18	-0.8560185739282539
17114	303	40000000	2.6015301760991322e-20	-6.300666942821424e-20	-5.410389437959592e-18	1.0	0.0	0.0	0.0	-8.140153263485971e-17	2.4823142611012694e-17	9.8	0.5000000000000001	5.36532961353532e-18	-0.8646753820641411
17115	303	60000000	2.7121876473815164e-20	-6.323686950980189e-20	-5.412475923244481e-18	1.0	0.0	0.0	0.0	6.093465864833886e-17	9.721212204702762e-18	9.8	0.5000000000000001	5.365499455195227e-18	-0.8773809239846084
17116	303	80000000	2.508381441232528e-20	-6.227729769476144e-20	-5.414561576220093e-18	1.0	0.0	0.0	0.0	3.736719188721072e-17	8.673121968377845e-17	9.8	0.5000000000000001	5.371115135210319e-18	-0.8720467857933881
17117	303	100000000	2.5428053033849054e-20	-6.094269528158775e-20	-5.416647176332041e-18	1.0	0.0	0.0	0.0	5.727229359341005e-17	-1.5480577247804444e-16	9.8	0.5000000000000001	5.37260449653986e-18	-0.8686420206073162
17118	303	120000000	2.555819717448041e-20	-6.180719843227175e-20	-5.418733116338683e-18	1.0	0.0	0.0	0.0	-8.336757056668536e-17	1.459439593017864e-16	9.8	0.5000000000000001	5.374465020282621e-18	-0.875133549958413
17119	303	140000000	2.5520370969837366e-20	-6.161372677134526e-20	-5.4208207564361705e-18	1.0	0.0	0.0	0.0	6.471325290078739e-17	-1.2007342314154552e-16	9.8	0.5000000000000001	5.376618177288408e-18	-0.858294738281231
17120	303	160000000	2.614819559021259e-20	-6.343792235293844e-20	-5.4229078209753844e-18	1.0	0.0	0.0	0.0	-1.31664391239579e-16	-1.01111479070134e-17	9.8	0.5000000000000001	5.3776178176868895e-18	-0.8567564675500078
