sequence	time_seconds	time_nseconds	orientation_x	orientation_y	orientation_z	orientation_w	angular_velocity_x	angular_velocity_y	angular_velocity_z	linear_acceleration_x	linear_acceleration_y	linear_acceleration_z	mag_x	mag_y	mag_z
37642	752	939900000	0.0035649517875837866	0.0014639761085738585	-0.9259240162211757	0.37769016942138417	0.0007753383046852252	1.7068863643007028e-05	-0.10161235287680188	-0.07566083036384368	-0.009933836541028009	9.799676697514311	-0.35066244295107274	0.3497333504611464	-0.8459736281488238
37643	752	959900000	0.0035665598132546827	0.0014605107019157787	-0.9263070912731147	0.37674967712889923	0.0007729662471072838	1.9127374777694723e-05	-0.10154935484540191	-0.07570440875145656	-0.009923969681294494	9.799665705709	-0.3513716771834108	0.3490070087971197	-0.8625439657200515
37644	752	979900000	0.003568184196347751	0.0014570854594763375	-0.9266889430721301	0.37580945670826765	0.0007695864494631914	2.2552333912060874e-05	-0.10147809704034352	-0.07576552401638224	-0.009926160983298061	9.799657931090072	-0.3520788789496684	0.34827978865379117	-0.8816566022121729
37645	752	999900000	0.0035698356899381213	0.0014537196321297912	-0.9270695269977122	0.3748696241156602	0.0007647762314136901	2.76934007114651e-05	-0.10139452677163113	-0.07584510665331827	-0.009919726457005706	9.799644326471416	-0.35278393316659773	0.34755180792953344	-0.8924804052429343
37646	753	19900000	0.0035715336126803275	0.0014504535396845744	-0.9274487525270327	0.3739304103282236	0.0007568522228564664	3.613143404759833e-05	-0.10128626587866146	-0.07596668731367887	-0.009912206922993645	9.799629709645437	-0.35348661223106626	0.3468233020539286	-0.867573304388396
37647	753	39900000	0.0035733196391357957	0.0014473607967020014	-0.9278264336274451	0.3729922862414946	0.0007434562091170426	5.1178210008296706e-05	-0.10112749987828346	-0.0762791664088719	-0.00990091939235862	9.799595871178925	-0.35418645390914555	0.34609473184071926	-0.877493876416624
37648	753	59900000	0.003575279301017589	0.0014445978247723363	-0.9282021229719055	0.3720563793640582	0.0007182550829962429	7.997958246778275e-05	-0.10084758295352814	-0.07718132323726226	-0.009898568931112094	9.799525889386024	-0.3548823870727905	0.3453671727223441	-0.847644772064701
37649	753	79900000	0.0035775971416000594	0.0014425009868159102	-0.9285743444989084	0.3711264026285628	0.0006671294914365199	0.0001383929290890923	-0.10016830962268246	-0.08037215132280881	-0.009944968298524828	9.799804373425042	-0.3555711550923296	0.344643931353995	-0.8673543947101631
37650	753	99900000	0.0035794545245477556	0.0014391317445298967	-0.9289340337005602	0.37022517126464455	0.0007561011764116329	4.875075324887292e-05	-0.09703359015293436	-0.10299353714046566	-0.009220459725733033	9.800472685458704	-0.3562384660251269	0.343940098853004	-0.8743968448242483
37651	753	119900000	0.003581028526888918	0.0014359391320785471	-0.9292543430266277	0.3694204654315317	0.0006889837764141737	2.9170393168885338e-05	-0.08660916258041952	-0.13888898369187266	-0.008736562444164368	9.799371688587646	-0.35683318133695074	0.34331054160862495	-0.8786474000906528
37652	753	139900000	0.0035753409709803814	0.0014236438295664627	-0.9295163966565352	0.3687607063148659	0.001206327399853605	-0.0009818370820195918	-0.07098561951301807	-0.14181366389822816	-0.006939317900607124	9.797643398927477	-0.3573372692559871	0.34278262211713223	-0.8725379719762494
37653	753	159900000	0.003577583468728838	0.0014217232014038864	-0.9297415905645278	0.36819255067723033	0.0004964146781063712	0.00013798925776024103	-0.06111426245639537	-0.09766359956552975	-0.005889039500372409	9.8005386052278	-0.3577535773934479	0.3423369738606354	-0.8436715670526195
37654	753	179900000	0.00357776401125955	0.001419305484250916	-0.9299593492764017	0.36764220904302325	0.00045928126174055254	-7.18944084982253e-05	-0.05918437698463531	-0.06935446823181649	-0.005516448708401997	9.80050109654006	-0.3581597912014704	0.3419052844368424	-0.8674531015705327
37655	753	199900000	0.003578378935374272	0.0014168826523635414	-0.9301928712032482	0.36705096377805874	0.0004925982539477206	-3.152095574791479e-05	-0.06356770806559675	-0.04232385830072663	-0.005928548187670805	9.79959843471189	-0.3585947266074493	0.3414411005017035	-0.8491417223167526
37656	753	219900000	0.0035793135309730288	0.001414139664370431	-0.9304653127576313	0.36635978283444287	0.0005753877662869281	-1.3303906599002748e-05	-0.07429204502460068	-0.013904891438972285	-0.0066696508752949486	9.800194212775	-0.35910188147769523	0.3408979108595883	-0.8782781285784009
37657	753	239900000	0.0035806704579030933	0.001411368054966052	-0.9307990238861337	0.3655110996562294	0.0006585628107003402	2.528670430774245e-05	-0.09119168826004415	0.008727613464953876	-0.008548980738296278	9.79793770373046	-0.35972257517637896	0.34023095913972995	-0.8489872435224907
37658	753	259900000	0.0035839063154637103	0.0014102346518918116	-0.9311673048157003	0.36457182734821025	0.0006120717912819349	0.000260462838222738	-0.10088760607538706	-0.07953197327959607	-0.009888055382132969	9.80319050648755	-0.36040380754472623	0.33949380501975	-0.8621364358821912
37659	753	279900000	0.0035862957605277317	0.0014074808120200088	-0.931533364223156	0.3636354614439725	0.0007307488574511907	0.0001229573915908361	-0.10053551926450781	-0.0732590156696471	-0.009802658366743138	9.799012222725368	-0.3610835529207941	0.33875575583878337	-0.8695254578426864
37660	753	299900000	0.0035878919995940336	0.001403991735025742	-0.9318978931376571	0.36270025172834275	0.0007697648142292897	2.271790921238275e-05	-0.1003720101539015	-0.07448032053624554	-0.00975816303823078	9.799116883460098	-0.36176244865151813	0.3380168446127203	-0.8483429132931312
37661	753	319900000	0.0035893422772827898	0.0014004084547120023	-0.9322612638965014	0.36176524337790433	0.0007730147276974105	6.08630186737737e-06	-0.10031122532534997	-0.07521024838088976	-0.009736543226811075	9.79951341941463	-0.36243973860435724	0.3372769558062585	-0.8849754373667312
37662	753	339900000	0.0035908192861382787	0.0013968310298842523	-0.9326235518628039	0.36083024456208823	0.0007732808266208206	9.177492713312238e-06	-0.10027116312210453	-0.07543229163652873	-0.009736953767699843	9.799644247255372	-0.3631152194388919	0.3365359959865809	-0.8670844815076922
